glottocode	longitude	latitude	UV_305_mean	UV_305_sd	UV_310_mean	UV_310_sd	UV_325_mean	UV_325_sd	UV_380_mean	UV_380_sd	UV_A_mean	UV_A_sd	UV_B_mean	UV_B_sd	UV_mean	UV_sd
dubl1239	73.218	21.516	74.1632653061225	19.6731104287813	111.768707482993	24.777664726795	395.918367346939	78.9154738719725	717.210884353741	140.825369616213	556.56462585034	197.126117519235	92.9659863945578	29.2194108234928	324.765306122449	271.32267548734
dutc1256	5	52	11.8880813953488	11.6445436532015	28.4311046511628	22.7748145627582	164.198546511628	90.8502039654476	315.991279069767	168.305679265421	240.094912790698	155.023547500886	20.1595930232558	19.8792628080234	130.127252906977	155.905551567179
stan1293	-1	53	10.9097345132743	10.7259898201339	26.5117994100295	21.3372838676158	157.046017699115	85.5176344685719	302.766961651917	157.582143414124	229.906489675516	146.169243034317	18.7107669616519	18.5926881405367	124.308628318584	148.346533890681
erzy1239	45.39	52.855	12.9196480938416	12.4574261289462	30.1290322580645	24.2835542618895	166.489736070381	97.6066116082103	320.096774193548	181.623396769991	243.293255131965	164.72183355818	21.5243401759531	21.1197013601163	132.408797653959	161.505197121659
peno1244	262.99	17.067	74.5427046263345	23.3294332446379	109.049822064057	31.5436943263458	374.829181494662	105.611312311969	669.519572953737	194.150642381013	522.174377224199	214.778677740184	91.7962633451957	32.6569683160487	306.985320284698	264.432846284139
west2369	55.159	28.659	52.8051948051948	17.8825622201635	87.724025974026	22.6165848321898	336.201298701299	73.7248940203232	613.181818181818	130.49744238738	474.691558441558	174.427478797117	70.2646103896104	26.8383861880943	272.478084415584	237.66252963415
fiji1243	178.33	-18	68.6388888888889	22.7026257092025	103.166666666667	27.5938689347372	359.409722222222	81.7406379422853	643.715277777778	144.271867016637	501.5625	184.30029252849	85.9027777777778	30.5919158277095	293.732638888889	246.306410100564
taga1270	121.747	14.06	85.902846975089	17.4823623079315	124.362989323843	23.6242139014317	423.377224199288	74.144164933567	760.466192170819	133.799956342423	591.921708185053	200.342000615508	105.132918149466	28.3117153876159	348.52731316726	282.390849293063
finn1318	25.558	64.763	6.31261538461538	7.45149298921237	17.6123076923077	17.1911162430719	122.718769230769	84.1407307950641	247.735692307692	160.670340610073	185.227230769231	142.601880040506	11.9624615384615	14.3954540451922	98.5948461538461	133.320303430313
stan1290	2	48	15.3849112426036	13.6292791224858	34.1097633136095	24.3483837581719	179.292899408284	91.4002837972365	339.582840236686	168.346066665194	259.437869822485	157.330086550927	24.7473372781065	21.8290783031734	142.092603550296	162.435830536915
pula1263	-13.448	13.869	88.4086021505376	16.0111718365195	127.659498207885	21.3828288140887	430.78853046595	65.7230543110755	768.960573476703	117.096138425664	599.874551971326	194.012211662142	108.034050179211	27.2396885781739	353.954301075269	282.321034497256
scot1245	-5.244	56.757	8.48982558139535	9.07302322309423	21.8593023255814	19.7309667842378	136.433139534884	85.9921764393336	265.122093023256	159.080437618597	200.77761627907	143.084094812093	15.1745639534884	16.7398601635664	107.976090116279	137.795067132621
gami1242	73.684	21.07	74.1632653061225	19.6731104287813	111.768707482993	24.777664726795	395.918367346939	78.9154738719725	717.210884353741	140.825369616213	556.56462585034	197.126117519235	92.9659863945578	29.2194108234928	324.765306122449	271.32267548734
stan1295	12.468	48.649	14.9702623906706	13.7361048000206	33.6781341107872	25.4686004366982	180.104956268222	97.7287423464906	341.871720116618	179.903014447414	260.98833819242	165.768143007233	24.3241982507289	22.4872797233516	142.656268221574	167.316656804167
pare1266	83.972	19.075	71.6211604095563	22.3823368475775	106.921501706485	29.5691200073849	372.194539249147	98.3201004976037	664.709897610922	179.135101893707	518.452218430034	205.597420758191	89.2713310580205	31.5996283209174	303.861774744027	260.200549349405
mode1248	24.87	42.322	23.6213017751479	17.9256283077926	47.1186390532544	28.9084933344227	217.056213017751	99.7335609555201	403.976331360947	182.398801751189	310.516272189349	174.137199297761	35.3699704142012	26.7561808823033	172.943121301775	185.603669252499
guja1252	71.096	22.687	74.6986301369863	19.6873744540418	113.445205479452	24.2450351517769	403.606164383562	73.5564796649582	733.732876712329	127.982375885903	568.669520547945	195.368830138846	94.0719178082192	29.3741166635422	331.370719178082	275.423600646606
gusi1247	34.768	-0.789	91.6821428571429	19.2773299652425	128.596428571429	26.6195414535859	420.867857142857	87.0213196535467	749.714285714286	161.393763041178	585.291071428571	209.436417082324	110.139285714286	29.6718226356736	347.715178571429	280.793103339272
hadz1240	35.05	-3.83	88.4107142857143	21.6039429443435	124.4	29.7213583098913	407.982142857143	97.9369797866394	725.714285714286	180.765567728455	566.848214285714	215.359449487104	106.405357142857	31.594676526994	336.626785714286	276.978446583298
hakk1236	116	25	67.387417218543	21.8047567264219	105.059602649007	28.1858407440019	383.192052980132	91.6080931322813	694.966887417219	162.306359646324	539.079470198675	204.157006311938	86.2235099337748	31.4527950851994	312.651490066225	269.497888817916
haus1257	8.78	11.151	89.1906474820144	16.6517630253863	127.708633093525	22.1208854119816	428.489208633094	66.7493146201485	763.812949640288	120.668389368186	596.151079136691	194.041712379008	108.44964028777	27.4625901132109	352.30035971223	280.539838475693
