glottocode	latitude	longitude	humidity_overall_mean	humidity_overall_median	humidity_overall_sd	humidity_overall_IQR	humidity_mean_annual_mean	humidity_mean_annual_median	humidity_mean_annual_sd	humidity_mean_annual_IQR
pula1263	13.869	-13.448	0.00974578028902985	0.00725499982945621	0.00648857443070165	0.0129074998549186	0.00973349237307321	0.00748928750787551	0.00671450863697594	0.0121013222233159
scot1245	56.757	-5.244	0.00631891270352653	0.00598999997600913	0.00130862857395405	0.00222750019747764	0.00631631939411301	0.00600895833081773	0.00133731532088588	0.00210750761228458
gami1242	21.07	73.684	0.0111541509292347	0.0100150001235306	0.00554374279682417	0.0104549999814481	0.0111412721760617	0.00976971805600139	0.00572960949447563	0.00996750621965879
stan1295	48.649	12.468	0.00659124184894269	0.006010000128299	0.00304537263035506	0.00562750012613833	0.0065850523681986	0.00608726318912684	0.00314878498518743	0.00519173578262174
pare1266	19.075	83.972	0.0150875877605269	0.0142000000923872	0.00412920650998331	0.00798499910160899	0.0150775917342548	0.014277777783314	0.00424159071860522	0.00695578852901235
mode1248	42.322	24.87	0.00693563204709145	0.00663499999791384	0.00280191531765961	0.00477499968837947	0.00693123191462017	0.00657128818177928	0.00287194251591543	0.00447541004460719
guja1252	22.687	71.096	0.012522074023787	0.012020000256598	0.00497648135263983	0.00957749923691154	0.0125114137269978	0.0120181992921668	0.00515188127445912	0.00883382635624407
gusi1247	-0.789	34.768	0.0113728087474668	0.0112649998627603	0.00158353286464524	0.00242999941110611	0.0113782538584951	0.0113864041696717	0.00144089636848971	0.00210111257749506
hadz1240	-3.83	35.05	0.0116966357606622	0.0115399998612702	0.00228433737015683	0.00435000006109476	0.0117106715700981	0.011534279154148	0.00231517772547374	0.00412677607447323
hakk1236	25	116	0.0129778017528737	0.0130500001832843	0.0052148160216654	0.0101700006052852	0.0129709343517259	0.0129518409634733	0.00542103979830552	0.00918659931630827
haus1257	11.151	8.78	0.0125648022080079	0.0145199997350574	0.00482953279720128	0.00848500081337988	0.0125551608748409	0.0139083867802078	0.00473906476202194	0.0078328264329078
