glottocode,daltonism,n_colors,exists_blue,subsistence,stage,L1,macroarea,longitude,latitude,log_popSize,glottocode_family,latitude_family,longitude_family,macro_family,genetic_incomplete,genetic_full
pano1254,0,4,no,AGR,3a,Panoan Katukína,South America,288.438,-7.975,6.55,pano1259,-7.5,285,Panoan,,Karitiana
wels1247,6.98,8,no,AGR,999,Welsh,Eurasia,-4,52,13.14,indo1319,34,71.55,Indo-European,Irish,Irish
nucl1347,1.14,8,yes,AGR,6,Wolof,Africa,-15.383,15.253,15.18,atla1278,8.75,8.25,Niger-Congo,,Bantu.speakers
xava1240,0,3,no,HG,2,Xavánte,South America,307.563,-14.302,9.17,nucl1710,-11,310,Nuclear-Macro-Je,,Karitiana
xhos1239,4.51,10,no,AGR,999,Xhosa,Africa,28.077,-31.039,15.87,atla1278,8.75,8.25,Niger-Congo,,San
yano1261,5.2,7,no,HG,999,Yanomamo,South America,295.122,1.68,9.66,yano1268,1.68,295.12,Yanomamic,,Karitiana
yoru1245,3.33,6,yes,AGR,5,Yoruba,Africa,3.672,7.153,16.76,atla1278,8.75,8.25,Niger-Congo,Yoruba,Yoruba
yucu1253,0,5,no,AGR,4,Yucuna,South America,288.997,-0.761,7.5,araw1281,1,290.83,Arawakan,Colombian,Colombian
cent2127,0,6,no,HG,4,Yupik,North America,198.514,60.306,9.21,eski1264,63.69,189.52,Eskimo-Aleut,,Hezhe
zulu1248,2.91,10,yes,AGR,7,Zulu,Africa,31.351,-25.331,16.12,atla1278,8.75,8.25,Niger-Congo,,San
